STATEFIP,PUMA,ees_per_capita
6,1905,10.10177538702427
6,3704,4.338884212535905
6,5902,12.558747750430495
6,3717,7.472171936987252
6,3738,19.72471625510633
6,3719,7.217983089296761
6,6708,17.232183153489515
6,1700,1.4594989053758212
6,8503,1.639371137231758
6,5901,8.429222364476395
6,3724,4.376268551983279
6,10703,1.9193857965451055
6,3720,4.453925314704986
6,3702,2.3655958866462115
6,3723,11.392199056074936
6,3703,8.502345309857944
6,3759,6.452802359882006
6,3705,5.3557356102860725
6,109,3.469653623824082
6,104,9.820411830462081
6,105,5.0785614388736535
6,6505,9.398302817432823
6,7312,3.149606299212598
6,3714,6.125982154747636
6,1306,3.5289550764018776
6,6705,7.226738934056008
6,7308,2.4999479177517134
6,7303,11.5055689325916
6,7322,12.929919834497026
6,7320,2.1226735497894307
6,8504,3.6665851869958446
6,5303,1.4235164924553627
6,7112,8.326754836546884
6,6504,4.342683963484496
6,6512,7.741554946607848
6,9502,8.705407224590532
6,8513,6.615084755773434
6,8701,0.7625947285639388
6,8702,1.2807377049180328
6,8508,3.2046613255644574
6,5301,1.179356543070101
6,10100,8.214199779295239
6,702,2.246414377052013
6,1100,0.9748488984207447
6,1902,3.5262744176137404
6,6711,9.346260249732074
6,5903,9.079693369744522
6,3765,3.7925076903628168
6,101,2.199897338124221
6,3718,8.388172676526098
6,5302,2.9038580981342714
6,11300,5.533399464204979
6,6102,4.486417371408062
6,4702,4.14071220249883
6,8105,3.414944175148692
6,8506,2.4168918770461185
6,6103,4.537931770861139
6,1308,5.659109397658543
6,2902,3.6998668047950276
6,3768,3.137147923344472
6,3748,3.2135970863386416
6,2905,2.2250424406243305
6,3729,1.5665547374658595
6,1301,4.009579644339449
6,6707,8.268408855349428
6,102,5.22137076339512
6,7105,4.266335702442477
6,8505,4.868245309632885
6,6509,3.300534273985601
6,7301,3.5011776688522502
6,8510,3.304201291942705
6,3726,1.7342293518317797
6,8507,1.4417086306857385
6,103,3.350512924110882
6,7507,6.841532992071152
6,3300,0.41473125414731254
6,7902,1.2246064251017104
6,3900,1.5519064200428714
6,9903,3.1530942621374902
6,5700,2.52916442730233
6,300,0.8390434904209201
6,6709,9.822069434475464
6,3701,3.56213771440291
6,9703,2.909287011807448
6,10702,2.5273723451307464
6,9503,9.202229449225653
6,11102,10.369693856194226
6,6503,4.103914943976789
6,5915,4.2377869334902885
6,8104,3.034964888595858
6,3727,2.057951926243003
6,3731,2.680442516691847
6,3721,8.206811653672547
6,7703,1.8412705955025481
6,7310,3.7615786091563095
6,7311,2.30811196441311
6,7305,2.1900527802720045
6,1309,1.936836348721688
6,3728,1.45134051087186
6,9702,1.7920745503012927
6,2901,2.540897235653272
6,9901,2.9162694184285796
6,9904,6.12119975515201
6,2300,1.7654587986052876
6,1907,1.4744136572830768
6,10701,4.51315536777415
6,3100,2.8011204481792715
6,6712,3.7027437331062316
6,8103,4.859570862511526
6,8102,6.642311524410495
6,1302,4.401110434017198
6,8101,5.505888501091846
6,8511,2.558074379057898
6,8502,1.377343509471262
6,9701,1.5564329832724413
6,701,0.8131309024591401
6,1901,2.3109771414217533
6,1305,2.5865785313981897
6,8301,2.5575185931601725
6,7304,2.110196692544342
6,8512,1.555749691841888
6,8501,1.4801458616467296
6,8106,2.263032236894215
6,4102,2.3468008410934216
6,7309,1.061305557450744
6,8302,0.39989336177019463
6,2904,1.7795856107792043
6,8303,0.4876179861377173
6,4101,2.148198869510345
